country,year,sex,age,suicides_no,population
Argentina,2013,male,75+ years,168,699046
Argentina,2014,female,15-24 years,204,3388324
Argentina,2014,female,25-34 years,118,3227239
Argentina,2014,female,35-54 years,196,5203634
Argentina,2014,female,5-14 years,35,3533961
Argentina,2014,female,55-74 years,109,3454994
Argentina,2014,female,75+ years,25,1323654
Argentina,2014,male,15-24 years,738,3492454
Argentina,2014,male,25-34 years,531,3276955
Argentina,2014,male,35-54 years,644,5060862
Argentina,2014,male,5-14 years,34,3655965
Argentina,2014,male,55-74 years,405,2951616
Argentina,2014,male,75+ years,192,706897
Argentina,2015,female,15-24 years,153,3394201
Argentina,2015,female,25-34 years,114,3235582
Argentina,2015,female,35-54 years,166,5301368
Argentina,2015,female,5-14 years,19,3549219
Argentina,2015,female,55-74 years,125,3520779
Argentina,2015,female,75+ years,27,1344980
Argentina,2015,male,15-24 years,656,3500580
Argentina,2015,male,25-34 years,465,3289927
Argentina,2015,male,35-54 years,633,5166179
Argentina,2015,male,5-14 years,39,3672155
Argentina,2015,male,55-74 years,431,3011963
Argentina,2015,male,75+ years,245,712691
