country,year,sex,age,suicides_no,population
Brazil,2006,female,75+ years,47,2466737
Brazil,2006,male,15-24 years,1293,18063460
Brazil,2006,male,25-34 years,1537,15717099
Brazil,2006,male,35-54 years,2536,22709135
Brazil,2006,male,5-14 years,64,17731288
Brazil,2006,male,55-74 years,1112,9247477
Brazil,2006,male,75+ years,275,1575798
Brazil,2007,female,15-24 years,379,17547530
Brazil,2007,female,25-34 years,392,16189977
Brazil,2007,female,35-54 years,723,24591528
Brazil,2007,female,5-14 years,51,17015233
Brazil,2007,female,55-74 years,275,11208413
Brazil,2007,female,75+ years,51,2581330
Brazil,2007,male,15-24 years,1267,17991928
Brazil,2007,male,25-34 years,1609,16075775
Brazil,2007,male,35-54 years,2516,23156759
Brazil,2007,male,5-14 years,67,17669069
Brazil,2007,male,55-74 years,1220,9611434
Brazil,2007,male,75+ years,305,1654216
Brazil,2008,female,15-24 years,398,17432076
Brazil,2008,female,25-34 years,365,16515414
Brazil,2008,female,35-54 years,745,25056164
Brazil,2008,female,5-14 years,49,16914401
Brazil,2008,female,55-74 years,309,11656750
Brazil,2008,female,75+ years,52,2693428
Brazil,2008,male,15-24 years,1375,17889839
Brazil,2008,male,25-34 years,1706,16430646
Brazil,2008,male,35-54 years,2608,23591045
Brazil,2008,male,5-14 years,55,17566837
Brazil,2008,male,55-74 years,1204,9996938
Brazil,2008,male,75+ years,318,1728094
Brazil,2009,female,15-24 years,343,17321655
Brazil,2009,female,25-34 years,351,16810330
Brazil,2009,female,35-54 years,768,25523153
Brazil,2009,female,5-14 years,52,16772250
Brazil,2009,female,55-74 years,301,12124076
Brazil,2009,female,75+ years,58,2811556
Brazil,2009,male,15-24 years,1270,17794434
Brazil,2009,male,25-34 years,1838,16753314
Brazil,2009,male,35-54 years,2737,24035191
Brazil,2009,male,5-14 years,62,17421892
Brazil,2009,male,55-74 years,1271,10398573
Brazil,2009,male,75+ years,295,1803127
Brazil,2010,female,15-24 years,368,17237481
Brazil,2010,female,25-34 years,404,17054489
Brazil,2010,female,35-54 years,835,26004856
Brazil,2010,female,5-14 years,48,16596829
Brazil,2010,female,55-74 years,339,12605588
Brazil,2010,female,75+ years,79,2940677
Brazil,2010,male,15-24 years,1288,17726866
Brazil,2010,male,25-34 years,1832,17023785
Brazil,2010,male,35-54 years,2586,24501254
Brazil,2010,male,5-14 years,56,17242386
Brazil,2010,male,55-74 years,1236,10813388
Brazil,2010,male,75+ years,358,1882113
Brazil,2011,female,15-24 years,413,17180849
Brazil,2011,female,25-34 years,400,17253232
Brazil,2011,female,35-54 years,805,26488792
Brazil,2011,female,5-14 years,47,16404101
Brazil,2011,female,55-74 years,352,13063915
Brazil,2011,female,75+ years,71,3110432
Brazil,2011,male,15-24 years,1335,17674787
Brazil,2011,male,25-34 years,1907,17249585
